Time [s],Packet ID,MOSI,MISO
0.182474805,5,0xB4,0xB4
0.182482805,5,0x22,0x22
0.182490810,5,0xA2,0xA2
0.182498810,5,0x6A,0x6A
0.182506815,5,0x00,0x00
0.182514815,5,0xC9,0x00
0.182522815,5,0x0A,0x00
0.182530820,5,0xF2,0x00
0.229795200,6,0x55,0x55
0.229803200,6,0x6B,0x6B
0.229811205,6,0x7D,0x7D
0.229819205,6,0x91,0x91
0.229827210,6,0x71,0x71
0.229835210,6,0x04,0x04
0.229843210,6,0x68,0x68
0.229851215,6,0x7B,0x7B
0.229859215,6,0x5F,0x5F
0.229867220,6,0x7F,0x7F
0.229875220,6,0x53,0x53
0.229883225,6,0x53,0x53
0.229891225,6,0x7B,0x7B
0.229899225,6,0x40,0x40
0.229907230,6,0x80,0x80
0.229915230,6,0x60,0x60
0.229923235,6,0x30,0x30
0.229931235,6,0x10,0x10
0.229939240,6,0x4A,0x4A
0.229947240,6,0xEA,0xEA
0.229955240,6,0xB4,0xB4
0.229963245,6,0x42,0x42
0.229971245,6,0x32,0x32
0.229979250,6,0xA2,0xA2
0.229987250,6,0xB4,0xB4
0.229995250,6,0x22,0x22
0.230003255,6,0xA2,0xA2
0.230011255,6,0x6A,0x6A
0.230019260,6,0x00,0x00
0.230027260,6,0xC9,0x00
0.230035260,6,0x0A,0x00
0.230043265,6,0xF2,0x00
0.271056010,7,0x55,0x55
0.271064010,7,0x6B,0x6B
0.271072010,7,0x7D,0x7D
0.271080015,7,0x91,0x91
0.271088015,7,0x71,0x71
0.271096020,7,0x04,0x04
0.271104020,7,0x68,0x68
0.271112020,7,0x7B,0x7B
0.271120025,7,0x5F,0x5F
0.271128025,7,0x7F,0x7F
0.271136030,7,0x53,0x53
0.271144030,7,0x53,0x53
0.271152030,7,0x7B,0x7B
0.271160035,7,0x40,0x40
0.271168035,7,0x80,0x80
0.271176040,7,0x60,0x60
0.271184040,7,0x30,0x30
0.271192045,7,0x10,0x10
0.271200045,7,0x4A,0x4A
0.271208045,7,0xEA,0xEA
0.271216050,7,0xB4,0xB4
0.271224050,7,0x42,0x42
0.271232055,7,0x32,0x32
0.271240055,7,0xA2,0xA2
0.271248060,7,0xB4,0xB4
0.271256060,7,0x22,0x22
0.271264060,7,0xA2,0xA2
0.271272065,7,0x6A,0x6A
0.271280065,7,0x00,0x00
0.271288070,7,0xC9,0x00
0.271296070,7,0x0A,0x00
0.271304070,7,0xF2,0x00
0.311691650,8,0x55,0x55
0.311699655,8,0x6B,0x6B
0.311707655,8,0x7D,0x7D
0.311715660,8,0x91,0x91
0.311723660,8,0x71,0x71
0.311731660,8,0x04,0x04
0.311739665,8,0x68,0x68
0.311747665,8,0x7B,0x7B
0.311755670,8,0x5F,0x5F
0.311763670,8,0x7F,0x7F
0.311771670,8,0x53,0x53
0.311779675,8,0x53,0x53
0.311787675,8,0x7B,0x7B
0.311795680,8,0x40,0x40
0.311803680,8,0x80,0x80
0.311811685,8,0x60,0x60
0.311819685,8,0x30,0x30
0.311827685,8,0x10,0x10
0.311835690,8,0x4A,0x4A
0.311843690,8,0xEA,0xEA
0.311851695,8,0xB4,0xB4
0.311859695,8,0x42,0x42
0.311867700,8,0x32,0x32
0.311875700,8,0xA2,0xA2
0.311883700,8,0xB4,0xB4
0.311891705,8,0x22,0x22
0.311899705,8,0xA2,0xA2
0.311907710,8,0x6A,0x6A
0.311915710,8,0x00,0x00
0.311923710,8,0xC9,0x00
0.311931715,8,0x0A,0x00
0.311939715,8,0xF2,0x00
0.359829260,9,0x55,0x55
0.359837265,9,0x6B,0x6B
0.359845265,9,0x7D,0x7D
0.359853265,9,0x91,0x91
0.359861270,9,0x71,0x71
0.359869270,9,0x04,0x04
0.359877275,9,0x68,0x68
0.359885275,9,0x7B,0x7B
0.359893275,9,0x5F,0x5F
0.359901280,9,0x7F,0x7F
0.359909280,9,0x53,0x53
0.359917285,9,0x53,0x53
0.359925285,9,0x7B,0x7B
0.359933290,9,0x40,0x40
0.359941290,9,0x80,0x80
0.359949290,9,0x60,0x60
0.359957295,9,0x30,0x30
0.359965295,9,0x10,0x10
0.359973300,9,0x4A,0x4A
0.359981300,9,0xEA,0xEA
0.359989305,9,0xB4,0xB4
0.359997305,9,0x42,0x42
0.360005305,9,0x32,0x32
0.360013310,9,0xA2,0xA2
0.360021310,9,0xB4,0xB4
0.360029315,9,0x22,0x22
0.360037315,9,0xA2,0xA2
0.360045315,9,0x6A,0x6A
0.360053320,9,0x00,0x00
0.360061320,9,0xC9,0x00
0.360069325,9,0x0A,0x00
0.360077325,9,0xF2,0x00
0.409842360,10,0x55,0x55
0.409850365,10,0x6B,0x6B
0.409858365,10,0x7D,0x7D
0.409866365,10,0x91,0x91
0.409874370,10,0x71,0x71
0.409882370,10,0x04,0x04
0.409890375,10,0x68,0x68
0.409898375,10,0x7B,0x7B
0.409906380,10,0x5F,0x5F
0.409914380,10,0x7F,0x7F
0.409922380,10,0x53,0x53
0.409930385,10,0x53,0x53
0.409938385,10,0x7B,0x7B
0.409946390,10,0x40,0x40
0.409954390,10,0x80,0x80
0.409962390,10,0x60,0x60
0.409970395,10,0x30,0x30
0.409978395,10,0x10,0x10
0.409986400,10,0x4A,0x4A
0.409994400,10,0xEA,0xEA
0.410002405,10,0xB4,0xB4
0.410010405,10,0x42,0x42
0.410018405,10,0x32,0x32
0.410026410,10,0xA2,0xA2
0.410034410,10,0xB4,0xB4
0.410042415,10,0x22,0x22
0.410050415,10,0xA2,0xA2
0.410058420,10,0x6A,0x6A
0.410066420,10,0x00,0x00
0.410074420,10,0xC9,0x00
0.410082425,10,0x0A,0x00
0.410090425,10,0xF2,0x00
0.457979970,11,0x55,0x55
0.457987970,11,0x6B,0x6B
0.457995975,11,0x7D,0x7D
0.458003975,11,0x91,0x91
0.458011980,11,0x71,0x71
0.458019980,11,0x04,0x04
0.458027985,11,0x68,0x68
0.458035985,11,0x7B,0x7B
0.458043985,11,0x5F,0x5F
0.458051990,11,0x7F,0x7F
0.458059990,11,0x53,0x53
0.458067995,11,0x53,0x53
0.458075995,11,0x7B,0x7B
0.458083995,11,0x40,0x40
0.458092000,11,0x80,0x80
0.458100000,11,0x60,0x60
0.458108005,11,0x30,0x30
0.458116005,11,0x10,0x10
0.458124010,11,0x4A,0x4A
0.458132010,11,0xEA,0xEA
0.458140010,11,0xB4,0xB4
0.458148015,11,0x42,0x42
0.458156015,11,0x32,0x32
0.458164020,11,0xA2,0xA2
0.458172020,11,0xB4,0xB4
0.458180020,11,0x22,0x22
0.458188025,11,0xA2,0xA2
0.458196025,11,0x6A,0x6A
0.458204030,11,0x00,0x00
0.458212030,11,0xC9,0x00
0.458220035,11,0x0A,0x00
0.458228035,11,0xF2,0x00
0.504867250,12,0x55,0x55
0.504875255,12,0x6B,0x6B
0.504883255,12,0x7D,0x7D
0.504891260,12,0x91,0x91
0.504899260,12,0x71,0x71
0.504907260,12,0x04,0x04
0.504915265,12,0x68,0x68
0.504923265,12,0x7B,0x7B
0.504931270,12,0x5F,0x5F
0.504939270,12,0x7F,0x7F
0.504947270,12,0x53,0x53
0.504955275,12,0x53,0x53
0.504963275,12,0x7B,0x7B
0.504971280,12,0x40,0x40
0.504979280,12,0x80,0x80
0.504987285,12,0x60,0x60
0.504995285,12,0x30,0x30
0.505003285,12,0x10,0x10
0.505011290,12,0x4A,0x4A
0.505019290,12,0xEA,0xEA
0.505027295,12,0xB4,0xB4
0.505035295,12,0x42,0x42
0.505043300,12,0x32,0x32
0.505051300,12,0xA2,0xA2
0.505059300,12,0xB4,0xB4
0.505067305,12,0x22,0x22
0.505075305,12,0xA2,0xA2
0.505083310,12,0x6A,0x6A
0.505091310,12,0x00,0x00
0.505099310,12,0xC9,0x00
0.505107315,12,0x0A,0x00
0.505115315,12,0xF2,0x00
0.552379695,13,0x55,0x55
0.552387700,13,0x6B,0x6B
0.552395700,13,0x7D,0x7D
0.552403705,13,0x91,0x91
0.552411705,13,0x71,0x71
